"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.398849904E1,-7.411689032E-3,1.423205482E-3,6.858230336E-4
3.408823004E1,-3.698494751E-3,-8.900381508E-4,3.734482918E-3
3.418796104E1,3.148070537E-4,2.148229862E-3,-2.058204962E-3
3.428769204E1,-2.161748242E-3,-4.647489404E-4,-1.189958653E-3
3.438742304E1,-5.677749286E-4,-9.391612839E-4,1.875143265E-3
3.448715404E1,-1.640670118E-3,3.381089773E-3,2.125169849E-4
3.458688571E1,-2.161533106E-3,4.705023603E-4,-8.085026057E-4
3.468661671E1,-1.721244887E-3,7.334328257E-5,-1.963322866E-4
3.478634771E1,2.441594377E-3,1.482991269E-3,-5.860854872E-4
3.488607871E1,1.527006156E-3,1.481428742E-3,-8.180352743E-4
3.498580971E1,-1.291078748E-3,-6.606628885E-4,3.923440352E-3
3.508554071E1,1.913577551E-3,-8.582950104E-4,6.367957103E-4
3.518527171E1,-3.455687547E-4,-3.371667117E-5,-8.248923114E-4
3.528500271E1,-2.098953351E-3,9.322343976E-4,-1.005538623E-3
3.538473371E1,-2.198439557E-3,1.789349364E-3,1.219913247E-4
3.548446471E1,-8.791791624E-4,1.745796995E-3,-2.002079971E-3
3.558419521E1,-6.074237754E-4,1.074405154E-4,9.023872553E-4
3.568392621E1,-7.041970966E-4,-3.330381878E-4,7.705292082E-4
3.578365721E1,1.475582365E-3,4.782284377E-4,2.160574077E-4
3.588338821E1,1.141775399E-3,-1.405799179E-3,2.778231166E-3
3.598311921E1,-7.935333997E-4,-9.947330691E-4,1.916936133E-3
3.608285021E1,-1.505290857E-3,-8.998067351E-4,1.348568476E-3
3.618258121E1,1.819392666E-3,-1.842063386E-3,1.127767609E-3
3.628231221E1,1.429580152E-7,5.750253913E-4,-1.727203489E-4
3.638204321E1,-7.743573515E-4,8.038994274E-4,-1.988721779E-4
3.648177421E1,3.733495949E-3,-8.483022102E-4,2.445985563E-3
3.658150529E1,-1.727520721E-4,1.934644766E-3,1.269558561E-3
3.668123629E1,-3.016800620E-4,-9.593089344E-4,-1.993111218E-4
3.678096729E1,6.469764048E-5,-5.167135969E-4,1.949425787E-3
3.688069829E1,1.782432199E-3,3.941386240E-5,2.097030170E-3
