"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.640895083E1,1.980146790E-1,-4.744764072E-1,2.066569734E-1
2.650868183E1,6.963862811E-1,-1.735810286E-1,3.184457964E-1
2.660841321E1,4.826334192E-1,-5.798566818E-2,4.984061372E-1
2.670814321E1,2.094970025E-1,-7.486424088E-2,2.312205416E-1
2.680787421E1,2.902879447E-1,6.432112634E-2,5.019711846E-1
2.690760521E1,4.522826058E-1,1.853403640E-1,6.755451965E-1
2.700733621E1,2.714107206E-1,7.042971253E-2,5.560082281E-1
2.710706621E1,4.145166824E-1,-3.050018781E-1,1.577099311E-1
2.720679721E1,3.885944771E-1,3.726395452E-1,-3.257191479E-2
2.730652821E1,1.730965868E-1,5.684774154E-1,-7.904464924E-1
2.740625921E1,7.552980021E-2,4.519178492E-1,-4.391410983E-1
2.750599021E1,1.350445884E-1,1.081647187E-1,-2.358497822E-1
2.760571996E1,4.342380618E-1,1.015965414E-1,2.410877180E-1
2.770545096E1,2.689996212E-1,-1.211841291E-1,-3.681535614E-1
2.780518196E1,-4.796405219E-2,-1.551587909E-1,2.333623767E-2
2.790491296E1,1.849331785E-1,-2.168779063E-1,2.285664904E-1
2.800464396E1,3.030472270E-1,-2.877835822E-1,3.011351144E-1
2.810437496E1,-1.239375830E-1,-3.206776786E-1,5.141971278E-1
2.820410496E1,6.895774908E-2,-3.737265426E-1,4.644203657E-1
2.830383596E1,1.500193077E-1,-3.764425743E-1,4.058435440E-2
2.840356696E1,1.928345941E-1,2.228952760E-1,4.297300047E-1
2.850329796E1,-9.090205707E-2,2.179719204E-1,3.917400599E-1
2.860302958E1,-3.762458885E-1,4.016955292E-1,-2.054770052E-1
2.870276058E1,-3.823699699E-1,5.684698141E-1,-6.014522034E-1
2.880249058E1,-5.286481559E-1,3.948934633E-1,-5.262757212E-1
2.890222158E1,-5.201015000E-1,2.166539580E-1,4.309479797E-1
2.900195258E1,-7.190968667E-1,-9.890623748E-2,2.943073207E-1
2.910168358E1,-6.124859359E-1,-3.540939313E-1,8.888486999E-1
2.920141458E1,-4.714202137E-1,-7.013688397E-1,8.992064577E-1
2.930114558E1,-2.776518193E-1,-5.964914256E-1,9.742969859E-1
2.940087658E1,-5.221091780E-1,-1.397899693E-1,8.802714193E-1
2.950060658E1,-7.211493856E-1,1.034163119E0,2.871392190E-1
2.960033767E1,-2.341838374E-1,4.315303624E-1,-3.846655136E-1
2.970006867E1,-8.835454946E-1,-4.209352076E-2,-3.252303207E-1
2.979979967E1,-3.099852408E-1,-2.252657372E-1,4.840371895E-1
2.989953067E1,-4.125512140E-1,-4.216953456E-1,9.135876846E-1
2.999926167E1,1.186932518E-1,-5.594183242E-1,9.192495435E-1
3.009899267E1,1.940116386E-1,-8.456874776E-1,1.428156695E0
3.019872367E1,-2.617442498E-1,-1.060127680E0,1.463169238E0
3.029845467E1,-6.037941960E-1,-8.374165910E-1,1.343997720E0
3.039818467E1,-1.947069091E-1,-4.973723495E-1,1.445505384E0
3.049791567E1,-2.631926052E-1,-5.800315136E-1,8.544553775E-1
3.059764604E1,-8.650728978E-2,-7.782714200E-1,1.211380531E0
3.069737704E1,-3.282459491E-1,-7.201793325E-1,1.158375521E0
3.079710804E1,-2.346216842E-1,-5.859465569E-1,1.254580345E0
3.089683904E1,-2.624639324E-1,-4.759738791E-1,1.174475244E0
3.099657004E1,8.685438050E-1,-6.375260156E-1,1.067185269E0
3.109630104E1,1.463504722E-1,-5.122769022E-1,1.041709535E0
3.119603204E1,-9.935530365E-2,-5.540979427E-1,8.166466963E-1
3.129576304E1,-1.636713502E-1,-4.757990474E-1,8.833055395E-1
3.139549404E1,7.401851423E-2,-3.177587485E-1,8.156398058E-1
3.149522504E1,6.848832730E-2,-3.567111450E-1,6.870390683E-1
3.159495667E1,-1.255690658E-1,-2.727153075E-1,7.426349795E-1
3.169468767E1,-1.421553142E-1,-1.796369898E-1,6.274144256E-1
3.179441767E1,-1.035375685E0,7.647631824E-2,3.269879937E-1
3.189414867E1,-2.631355217E-1,-5.316814721E-2,3.193135232E-1
3.199387967E1,-2.024681560E-1,1.483052695E-1,1.158052754E-1
3.209361067E1,-5.429598374E-1,3.797035664E-1,-1.382673544E-1
3.219334167E1,-6.595255433E-2,4.842266393E-1,-3.290707719E-1
3.229307267E1,-6.801537892E-2,4.131350219E-1,-3.498693180E-1
3.239280367E1,-1.036312628E-1,3.136528337E-1,-2.437394303E-1
3.249253467E1,-2.029736478E-1,2.149606043E-1,-9.103997827E-2
3.259226517E1,-1.200530035E-1,1.894866246E-1,-7.780305147E-3
3.269199617E1,-1.154071349E-1,1.696885371E-1,3.633401334E-2
3.279172717E1,-1.879687971E-2,1.222705418E-1,5.759098113E-2
3.289145817E1,-1.116167870E-1,9.045584142E-2,3.381854117E-2
3.299118917E1,-6.508550361E-2,1.017947620E-1,3.779464781E-2
3.309092017E1,-6.709234111E-2,1.248240209E-1,3.550955594E-2
3.319065117E1,1.720528588E-2,9.490264893E-2,3.087388337E-2
3.329038217E1,-4.438315337E-2,1.516194713E-1,4.643332422E-2
3.339011317E1,-9.245529681E-2,1.456208128E-1,-4.668826282E-2
3.348984417E1,-1.269057758E-1,9.794214857E-1,-7.091672713E-1
3.358957504E1,-1.551350732E-1,1.055530599E0,-1.205722180E0
3.368930604E1,-1.346626464E-1,7.229544210E-1,-1.194821216E0
3.378903704E1,-8.373573697E-2,3.564883661E-1,-8.559136730E-1
3.388876804E1,-8.714314708E-2,5.410270768E-1,-5.548037016E-1
3.398849904E1,-9.301276487E-2,6.751657122E-1,-4.926682645E-1
3.408823004E1,-4.988662583E-2,5.141696459E-1,-5.095427442E-1
3.418796104E1,-3.218241714E-2,3.481946754E-1,-5.501300222E-1
3.428769204E1,-5.922596312E-2,4.568113840E-1,-5.034505302E-1
3.438742304E1,-8.292106451E-2,3.797690552E-1,-3.851929325E-1
3.448715404E1,-5.256034741E-2,2.238372624E-1,-3.430947340E-1
3.458688571E1,-2.778138237E-2,3.370779490E-1,-3.415727037E-1
3.468661671E1,-4.257713118E-2,2.767966640E-1,-3.084417951E-1
3.478634771E1,-6.085317928E-2,2.091291761E-1,-2.992154735E-1
3.488607871E1,-2.496477859E-2,2.304066092E-1,-2.358094364E-1
3.498580971E1,4.009020072E-3,2.032655883E-1,-2.235261905E-1
3.508554071E1,-4.918636694E-2,1.339550328E-1,-1.994356620E-1
3.518527171E1,-5.036686039E-2,1.767905653E-1,-1.649715883E-1
3.528500271E1,-4.025734887E-2,1.337644136E-1,-1.379463422E-1
3.538473371E1,-5.790935288E-2,1.293988824E-1,-1.605955321E-1
3.548446471E1,-1.238417435E-2,1.499787426E-1,-1.249117291E-1
3.558419521E1,-5.176801315E-2,1.081103396E-1,-8.962144375E-2
3.568392621E1,-1.543648487E-2,1.126138651E-1,-9.665681362E-2
3.578365721E1,-3.545844762E-2,1.204666758E-1,-1.296620071E-1
3.588338821E1,-1.435095842E-2,6.902053356E-2,-8.720888257E-2
3.598311921E1,-1.060290232E-2,7.751478374E-2,-7.063611925E-2
3.608285021E1,1.041043300E-2,7.612022281E-2,-6.759556711E-2
