"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.692192810E2,4.546495900E1,-7.359032600E1,-1.200000000E0,2.109222222E1,2.697760620E2,5.000000000E0,9.500000000E0
1.702092040E2,4.546496000E1,-7.359059600E1,-1.400000000E0,2.083500000E1,2.698903809E2,5.000000000E0,9.500000000E0
1.712144920E2,4.546496000E1,-7.359085900E1,-8.000000000E-1,2.052633333E1,2.698903809E2,5.000000000E0,9.500000000E0
1.722075490E2,4.546496000E1,-7.359112500E1,-1.100000000E0,2.052633333E1,2.698903809E2,5.000000000E0,9.500000000E0
1.732124059E2,4.546496100E1,-7.359138900E1,-1.500000000E0,2.052633333E1,2.698932495E2,5.000000000E0,9.500000000E0
1.741964860E2,4.546496100E1,-7.359165600E1,-3.000000000E-1,2.083500000E1,2.698932495E2,5.000000000E0,9.500000000E0
1.751883509E2,4.546496200E1,-7.359192400E1,-6.000000000E-1,2.083500000E1,2.700000000E2,5.000000000E0,9.500000000E0
1.761790940E2,4.546496300E1,-7.359219600E1,-2.000000000E-1,2.140088889E1,2.716627502E2,5.000000000E0,9.500000000E0
1.771867610E2,4.546496400E1,-7.359246200E1,-1.000000000E-1,2.052633333E1,2.706380005E2,5.000000000E0,9.500000000E0
1.781709930E2,4.546496900E1,-7.359272600E1,1.000000000E-1,2.052633333E1,2.729156189E2,5.000000000E0,9.500000000E0
1.791705619E2,4.546497900E1,-7.359298300E1,1.000000000E-1,2.052633333E1,2.744183655E2,5.000000000E0,9.500000000E0
1.802695310E2,4.546499900E1,-7.359326200E1,-3.000000000E-1,2.001188889E1,2.758451538E2,1.000000000E1,1.900000000E1
1.812739990E2,4.546502400E1,-7.359350500E1,-1.000000000E-1,1.913733333E1,2.758451538E2,1.000000000E1,1.900000000E1
1.822438790E2,4.546505600E1,-7.359374000E1,3.000000000E-1,1.862288889E1,2.817000000E2,1.000000000E1,1.900000000E1
1.832510240E2,4.546509200E1,-7.359396600E1,1.200000000E0,1.831422222E1,2.837000000E2,1.000000000E1,1.900000000E1
1.842415860E2,4.546513500E1,-7.359419100E1,4.000000000E-1,1.805700000E1,2.859000000E2,1.000000000E1,1.900000000E1
1.852441690E2,4.546518300E1,-7.359440800E1,9.000000000E-1,1.774833333E1,2.880000000E2,3.000000000E1,5.700000000E1
1.862319310E2,4.546523500E1,-7.359462100E1,9.000000000E-1,1.749111111E1,2.900000000E2,3.000000000E1,5.700000000E1
1.872392230E2,4.546529100E1,-7.359482700E1,1.300000000E0,1.723388889E1,2.917000000E2,3.000000000E1,5.700000000E1
1.882109300E2,4.546535200E1,-7.359503400E1,1.600000000E0,1.723388889E1,2.935000000E2,3.000000000E1,5.700000000E1
1.892272600E2,4.546541600E1,-7.359523500E1,2.100000000E0,1.723388889E1,2.950000000E2,3.000000000E1,5.700000000E1
1.902210749E2,4.546548800E1,-7.359544300E1,1.400000000E0,1.805700000E1,2.962000000E2,3.000000000E1,5.700000000E1
1.912180600E2,4.546556500E1,-7.359565500E1,1.500000000E0,1.862288889E1,2.983000000E2,3.000000000E1,5.700000000E1
1.922129869E2,4.546565400E1,-7.359587200E1,1.600000000E0,1.944600000E1,3.011000000E2,3.000000000E1,5.700000000E1
