"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.839910467E1,2.125579834E-2,7.899073792E0,5.870791626E0
3.849883567E1,2.409988403E-2,7.870782623E0,5.846392365E0
3.859856592E1,2.559677124E-2,7.896978149E0,5.881419525E0
3.869829692E1,1.197509766E-2,7.895630951E0,5.867199097E0
3.879802792E1,6.122268677E-2,7.898624725E0,5.862708435E0
3.889775892E1,4.969665527E-2,7.896828461E0,5.856870575E0
3.899748992E1,3.487747192E-2,7.890691223E0,5.876629486E0
3.909722092E1,3.891906738E-2,7.868986359E0,5.856271820E0
3.919695192E1,6.990463257E-2,7.907606049E0,5.873486023E0
3.929668292E1,-2.844085693E-3,7.896978149E0,5.833818512E0
3.939641392E1,1.661544800E-2,7.882308655E0,5.873935089E0
3.949614492E1,7.080276489E-2,7.905211029E0,5.863007812E0
3.959587583E1,-9.999206543E-2,7.864346008E0,5.883814545E0
3.969560683E1,2.724334717E-2,7.867190094E0,5.855373688E0
3.979533783E1,8.202941895E-2,7.878865814E0,5.910010071E0
3.989506883E1,7.080276489E-2,7.890990601E0,5.862558746E0
3.999479983E1,6.032455444E-2,7.897576904E0,5.836961975E0
4.009453083E1,5.822891235E-2,7.918233948E0,5.878575439E0
4.019426183E1,8.876541138E-2,7.879165192E0,5.864355011E0
4.029399283E1,2.649490356E-2,7.892188110E0,5.821394348E0
4.039372383E1,5.777984619E-2,7.872728577E0,5.888005829E0
4.049345483E1,8.068222046E-2,7.884853363E0,5.867498474E0
4.059318592E1,1.513352966E-1,7.931855621E0,5.854625244E0
4.069291692E1,-1.901046753E-2,7.872279510E0,5.849236450E0
4.079264792E1,4.790039063E-2,7.896978149E0,5.882467346E0
4.089237892E1,6.271957397E-2,7.904163208E0,5.877377930E0
4.099210992E1,6.855743408E-2,7.887847137E0,5.872887268E0
